label,goal_x,goal_y,goal_yaw_deg,goal_w,final_x,final_y,final_yaw_deg,final_w,error_x_m,error_y_m,error_xy_m,error_yaw_deg,error_w,duration_sec,status
P1,-7.344,16.957,27.0,0.97237,-7.341,16.9487,32.72,0.95951,0.003,-0.0083,0.0088,5.72,-0.01286,52.71,SUCCEEDED
P2,7.679,8.221,-170.1,0.08629,7.6732,8.241,195.33,-0.13337,-0.0058,0.02,0.0208,5.43,-0.21965,45.78,SUCCEEDED
P3,9.262,-1.646,31.9,0.9615,,,,,,,,,,100.0,TIMEOUT
P4,0.387,-21.734,30.1,0.9657,7.9074,2.9485,-0.48,0.99999,7.5204,24.6825,25.8028,-30.58,0.03429,69.51,FAILED
P5,9.627,-13.669,-124.9,0.46252,8.0091,2.9946,-81.62,0.75687,-1.6179,16.6636,16.7419,43.28,0.29435,4.78,FAILED
P6,9.437,5.741,37.9,0.9458,9.4508,5.7266,43.65,0.92834,0.0138,-0.0144,0.02,5.75,-0.01746,18.21,SUCCEEDED
P7,-8.117,-19.969,-104.1,0.61497,-8.1183,-19.97,-109.64,0.57613,-0.0013,-0.001,0.0016,-5.54,-0.03885,74.58,SUCCEEDED
P8,11.426,-3.007,147.7,0.27815,-8.3983,-19.8233,71.98,0.80913,-19.8243,-16.8163,25.996,-75.72,0.53098,29.72,FAILED
P9,2.171,-2.368,97.0,0.66262,2.1351,-2.3792,92.44,0.6919,-0.0359,-0.0112,0.0377,-4.56,0.02928,54.48,SUCCEEDED
P10,3.12,22.105,-58.5,0.8725,3.1216,22.0948,-52.89,0.89535,0.0016,-0.0102,0.0103,5.61,0.02285,52.54,SUCCEEDED
P11,-12.789,20.965,106.9,0.59552,-12.7687,20.9475,112.08,0.55862,0.0203,-0.0175,0.0268,5.18,-0.0369,46.88,SUCCEEDED
P12,7.86,-8.682,141.8,0.32722,7.8704,-8.6909,136.46,0.37084,0.0104,-0.0089,0.0137,-5.34,0.04362,92.31,SUCCEEDED
